Name,Diocese,Lead,Score,Bulletin PDF,Bulletin URL,Address,Phone,Email,Website,Facebook,Instagram,YouTube,Twitter,Lat,Lng
"Our Lady of Solace Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","2890, West 17th Street, Brooklyn, NY, 11224","+1-718-266-1612","","https://olsbrooklyn.com/","No","No","No","No","40.5768076","-73.9852114"
"Saint Patrick's Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","9511, 4th Avenue, 11209","+1-718-238-2600","","https://stpatrickbayridge.org","No","No","No","No","40.6153357","-74.030955"
"Our Lady of Grace Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","430, Avenue W, Brooklyn, NY, 11223","+1-718-627-2020","","https://ourladyofgrace-brooklyn.org/","No","No","No","No","40.5934459","-73.9674197"
"Saint Finbar Catholic Church","Archdiocese of New York","Warm Lead","2","No","","130, Bay 20th Street, Brooklyn, NY, 11214","+1-718-236-3312","","https://www.stfinbarbrooklyn.org/","No","No","No","No","40.6041504","-74.0038695"
"Saint Francis Cabrini Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","1562, 86th Street, Brooklyn, NY, 11228","+1-718-236-9165","","https://stfrancescabrini-brooklyn.org/","No","No","No","No","40.6099704","-74.008223"
"Immaculate Heart of Mary","Archdiocese of New York","Warm Lead","2","No","","2819, Fort Hamilton Parkway, 11218","+1-718-871-1310","","https://ihm-brooklyn.org","No","No","No","No","40.6493232","-73.9772455"
"The Roman Catholic Church of Saint Brendan","Archdiocese of New York","Warm Lead","2","No","","1517, East 12th Street, Brooklyn, NY, 11230","+1-718-339-2828","","https://www.stbrendanbklyn.org/","No","No","No","No","40.6123654","-73.9614839"
"Saint Rose of Lima Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","269, Parkville Avenue, 11230","+1-718-434-8040","","https://stroseoflimabrooklyn.org","No","No","No","No","40.6322348","-73.9695175"
"Saint Columba Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","2245, Kimball Street, Brooklyn, 11234","+1 718 338 6265","","http://www.saintcolumbabrooklyn.org/","No","No","No","No","40.6077911","-73.923429"
"Our Saviour Catholic Church","Archdiocese of New York","Warm Lead","2","No","","59, Park Avenue, New York, 10016","+1-212-679-8166","","https://www.oursaviournyc.org/","No","No","No","No","40.7492341","-73.979234"
"Saint John Nepomucene Catholic Church","Archdiocese of New York","Warm Lead","2","No","","411, East 66th Street","+1 212-734-4613","","https://www.stjohnnepomucene.org/","No","No","No","No","40.7640088","-73.9583171"
"Saint Joseph's Church","Archdiocese of New York","Warm Lead","2","No","","406, East 87th Street, New York, 10028","+1 212-289-6030","info@stjosephsyorkville.com","https://www.stjosephsyorkville.org/","No","No","No","No","40.7770844","-73.9484111"
"Holy Name of Jesus Catholic Church","Archdiocese of New York","Warm Lead","2","No","","","+1 212-749-0276","","https://www.holynamenyc.org","No","No","No","No","40.7944859","-73.9706391"
"Saint Aloysius Catholic Church","Archdiocese of New York","Warm Lead","2","No","","209, West 132nd Street, 10027","+1 917-261-6507","","https://staloysiuschurchny.com/","No","No","No","No","40.81388","-73.9456334"
"Saint Catherine of Genoa Catholic Church","Archdiocese of New York","Warm Lead","2","No","","502, West 153rd Street, New York, NY, 10031","+1 212-862-6130","","https://stcatherineofgenoanyc.org/","No","No","No","No","40.8303105","-73.9446212"
"Our Lady of Esperanza Catholic Church","Archdiocese of New York","Warm Lead","2","No","","624, West 156th Street, 10032","+1 212-283-4340","","https://ourladyofesperanza.org","No","No","No","No","40.8338923","-73.9469681"
"Our Lady Queen of Martyrs Catholic Church","Archdiocese of New York","Warm Lead","2","No","","438, West 205th Street, 10034","+1 212-569-3000","","https://churchofstjudeny.org/","No","No","No","No","40.8628741","-73.9197031"
"Saint Anselm Catholic Church","Archdiocese of New York","Warm Lead","2","No","","683, Tinton Avenue, 10455","+1 718-585-8666","","https://stanselmnyc.org/","No","No","No","No","40.816351","-73.9056158"
"Saint Angela Merici Catholic Church","Archdiocese of New York","Warm Lead","2","No","","921, Morris Avenue, 10451","+1 718-293-0984","","https://saintangelamericichurch.org/","No","No","No","No","40.8271895","-73.9182746"
"Saint Athanasius Catholic Church","Archdiocese of New York","Warm Lead","2","No","","878, Tiffany Street, 10459","+1 718-328-2558","","https://stathanasiusbx.org/","No","No","No","No","40.8187726","-73.8943992"
"Saint Augustine Catholic Church","Archdiocese of New York","Warm Lead","2","No","","1508, Webster Avenue, 10457","+1 718-583-4044","","https://www.saolv.org","No","No","No","No","40.8385835","-73.9055374"
"Our Lady of Mercy Catholic Church","Archdiocese of New York","Warm Lead","2","No","","2506, Marion Avenue, 10458","+1 718-933-4400","","https://ourladyofmercyny.org","No","No","No","No","40.8609526","-73.8931184"
"Our Lady of Refuge Catholic Church","Archdiocese of New York","Warm Lead","2","No","","290, East 196th Street, 10458","+1 718-367-4690","","https://ourladyofrefuge.com","No","No","No","No","40.8665432","-73.8906678"
"Our Lady of Angels Catholic Church","Archdiocese of New York","Warm Lead","2","No","","2860, Sedgwick Avenue, 10468","+1 718-548-3005","","https://noblemaria.org","No","No","No","No","40.873982","-73.9011479"
"Saint Frances of Rome Catholic Church","Archdiocese of New York","Warm Lead","2","No","","761, East 236th Street, 10466","+1 718-324-5340","","https://sfrbronx.org","No","No","No","No","40.8952492","-73.8537592"
"Saint Barnabas Catholic Church","Archdiocese of New York","Warm Lead","2","No","","409, East 241st Street, Bronx, 10470","+1-718-324-1478","","https://www.stbarnabasbronx.org/","No","No","No","No","40.9021428","-73.8652373"
"Saint Peter Catholic Church","Archdiocese of New York","Warm Lead","2","No","","22, Barclay Street, New York, NY, 10007","+1 212-233-8355","","https://spcolr.org/","No","No","No","No","40.7123689","-74.0095718"
"Saint Francis Xavier Catholic Church","Archdiocese of New York","Warm Lead","2","No","","1703, Lurting Avenue, 10461","+1 718-892-3330","","https://stclarestfrancisparish.org","No","No","No","No","40.8482688","-73.8528662"
"Our Lady of Solace Catholic Church","Archdiocese of New York","Warm Lead","2","No","","735, Morris Park Avenue, 10462","+1 718-863-3282","","http://www.solacedominic.org/parish.html","No","No","No","No","40.8459076","-73.8646988"
"Saint Frances De Chantal Catholic Church","Archdiocese of New York","Warm Lead","2","No","","190, Hollywood Avenue, 10456","+1 718-792-5500","","https://www.sfdchantal.org/","No","No","No","No","40.8157402","-73.8144425"
"Saint Benedict Catholic Church","Archdiocese of New York","Warm Lead","2","No","","2969, Otis Avenue, 10465","+1 718-828-3403","","https://stbenedictchurchny.org","No","No","No","No","40.8335201","-73.826204"
"Our Lady of the Assumption Catholic Church","Archdiocese of New York","Warm Lead","2","No","","3100, Roberts Avenue, 10461","+1 718-824-5454","","https://www.olasmss.com/home","No","No","No","No","40.8460539","-73.8280457"
"Saint Mary Star of the Sea Catholic Church","Archdiocese of New York","Warm Lead","2","No","","596, City Island Avenue, 10464","+1 718-885-1440","","https://www.olasmss.com/home","No","No","No","No","40.8544824","-73.790362"
"Resurrection Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","2331, Gerritsen Avenue, Brooklyn, NY, 11229","+1 718-743-7234","","https://resurrection-brooklyn.org","No","No","No","No","40.5990085","-73.9311954"
"Church of Saint Joseph the Carpenter","Archdiocese of New York","Warm Lead","2","No","","160, East 3rd Avenue, Roselle, NJ, 07203","+1 908 241 1250","","http://www.stjosephroselle.com/","No","No","No","No","40.6576408","-74.2601923"
"Church of Saint Anastasia","Archdiocese of New York","Warm Lead","2","No","","1095, Teaneck Road, Teaneck, NJ, 07666","+1 201 837 3354","Secretary@SaintAnastasia.org","https://www.saintanastasia.org/","No","No","No","No","40.89119","-74.0017069"
"Church of the Presentation","Archdiocese of New York","Warm Lead","2","No","","271, West Saddle River Road, Upper Saddle River, NJ, 07458","+1-201-327-1313","","https://www.churchofpresentation.org/","No","No","No","No","41.0508581","-74.1020828"
"Resurrection Catholic Church","Archdiocese of New York","Warm Lead","2","No","","282, West 151st Street, New York, NY, 10039","+1 212-281-2100","","https://scbrchurch.org/","No","No","No","No","40.8259315","-73.9380032"
"Our Lady of Fatima Catholic Church","Archdiocese of New York","Warm Lead","2","No","","355, South Broadway, Yonkers, NY, 10705","+1 914-423-9688","","https://fatima-port-church.org/","No","No","No","No","40.9213386","-73.8963185"
"Visitation of the Blessed Virgin Mary Roman Catholic Church","Archdiocese of New York","Warm Lead","2","No","","98, Richards Street, 11231","+1-718-624-1572","","https://visitationbvm-brooklyn.org","No","No","No","No","40.6788466","-74.0088099"
"Saint Nicholas Ukrainian Catholic Church","Archdiocese of New York","Warm Lead","2","No","","217, President Street, 07055","+1-973-471-9727","","https://www.stnicholasucc.org/","No","No","No","No","40.871262","-74.126863"
"Our Lady Help of Christians Catholic Church","Archdiocese of New York","Warm Lead","2","No","","7396, Amboy Road, 10307","+1 718-317-9772","","https://olhcparish.org","No","No","No","No","40.5098292","-74.2433618"
"Saint Anthony of Padua Catholic Church","Archdiocese of New York","Warm Lead","2","No","","85, Harrison Street, West Harrison, NY, 10604","+1 914-948-1480","","https://sapwh.org/","No","No","No","No","41.0389704","-73.7482041"
"Our Lady of Shkodra - Albanian Catholic Church","Archdiocese of New York","Warm Lead","2","No","","361, West Hartsdale Avenue, Hartsdale, NY, 10530","+1 914-761-3523","","https://www.albchurch.org","No","No","No","No","41.0279436","-73.8071772"
"Immaculate Heart of Mary Catholic Church","Archdiocese of New York","Warm Lead","2","No","","8, Carman Road, Scarsdale, NY, 10583","+1 914-723-0276","","https://www.ihm-parish.org","No","No","No","No","40.9816972","-73.7991936"
"Our Lady of Perpetual Help Catholic Church","Archdiocese of New York","Warm Lead","2","No","","559, Pelham Manor Road, Pelham, NY, 10803","+1 914-738-1449","","https://www.olph-stcatharine.org","No","No","No","No","40.8978276","-73.8031727"
"Saint Aedan Catholic Church","Archdiocese of New York","Warm Lead","2","No","","25, Reld Drive, Pearl River, NY, 10965","+1 845-735-7405","","https://staedan.org/","No","No","No","No","41.0686861","-74.0030835"
"Saint Bartholomew Catholic Church","Archdiocese of New York","Warm Lead","2","No","","Palmer Road, Yonkers, NY, 10701","+1 914-965-0566","","https://www.saintbartsparish.org/","No","No","No","No","40.9462188","-73.8767268"
"Saint Catharine Catholic Church","Archdiocese of New York","Warm Lead","2","No","","521, Western Highway, Blauvelt, NY, 10913","+1 845-359-0542","","https://www.saintcatharines.org","No","No","No","No","41.0577105","-73.9557711"
"Saint Eugene Catholic Church","Archdiocese of New York","Warm Lead","2","No","","707, Tuckahoe Road, Yonkers, NY, 10710","+1 914-961-2590","","https://csey.org","No","No","No","No","40.9528828","-73.841741"
"Saint Michael the Archangel Church","Archdiocese of Miami","Cold Lead","1","No","","2987, West Flagler Street, Miami, FL, 33135","","","https://www.stmichaelmiami.org/","No","No","No","No","25.7729671","-80.2423061"
"Saint Kieran Catholic Church","Archdiocese of Miami","Cold Lead","1","No","","3605, South Miami Avenue, Miami, FL, 33133","","","https://www.stkierancatholicchurch.org/","No","No","No","No","25.7418918","-80.2136998"
"Saint John the Baptist","Diocese of Fort Lauderdale","Cold Lead","1","No","","4595, Bayview Drive, Fort Lauderdale, FL","","","https://www.saintjohncc.com/","No","No","No","No","26.1846229","-80.1075881"
"St. Maurice at Resurrection Catholic Church","Diocese of Fort Lauderdale","Cold Lead","1","No","","441, Northeast 2nd Street, Dania Beach, FL, 33004","","","https://www.saintmauriceatresurrection.org/","No","No","No","No","26.0564255","-80.13636"
"St. Joan of Arc Catholic Church","Diocese of Fort Lauderdale","Cold Lead","1","No","","370, Southwest 3rd Street, Boca Raton, FL, 33432","","","https://stjoan.org/wp/","No","No","No","No","26.3461063","-80.0932017"
"Basilica of Saint Paul","Diocese of Orlando","Cold Lead","1","No","","317, Mullally Street, Daytona Beach, 32114","","","https://basilicaofsaintpaul.com/","No","No","No","No","29.2175491","-81.0271035"
"Our Lady of Peace Church","Archdiocese of New York","Cold Lead","1","No","","620, Amboy Avenue, Edison, NJ, 08837","","","https://www.olpfords.org/history","No","No","No","No","40.5214941","-74.2754238"
"Our Lady of Mount Carmel Church","Archdiocese of New York","Cold Lead","1","No","","39, East 22nd Street, Bayonne, NJ","","","https://johnpaul2parish.com/","No","No","No","No","40.6628809","-74.117087"
"Bethel Gospel Assembly","Archdiocese of New York","Cold Lead","1","No","","1485, 5th Avenue","","","https://www.bethelga.org/","No","No","No","No","40.8026303","-73.9446473"
"Saint Thomas More Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","204-25, Rockaway Point Boulevard, 11697","","","https://www.btparish.org/","No","No","No","No","40.5604079","-73.9141097"
"Our Lady of Peace","Archdiocese of New York","Cold Lead","1","No","","522, Carroll Street, 11215","","","https://ourladyofpeace-brooklyn.org/","No","No","No","No","40.6763606","-73.985225"
"Saint Rocco's Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","","","","http://www.saintroccochurch.com/","No","No","No","No","40.6586842","-73.9985627"
"St. Augustine Park Slope","Archdiocese of New York","Cold Lead","1","No","","","","","https://sasfx.org","No","No","No","No","40.6784377","-73.9764794"
"Roman Catholic Church of Saint Dominic","Archdiocese of New York","Cold Lead","1","No","","7413, 20th Avenue, 11204","","","https://stathanasius-stdominic-brooklyn.org/","No","No","No","No","40.6110999","-73.9911064"
"Saint Frances de Chantal Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","","","","https://francesdechantal.org","No","No","No","No","40.6303947","-73.9973397"
"Holy Spirit Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","","","","https://www.holyspiritbrooklyn.org","No","No","No","No","40.6311887","-73.9808871"
"The Oratory Church of St. Boniface","Archdiocese of New York","Cold Lead","1","No","","190, Duffield Street, 11201","","","https://oratorychurch.org/","No","No","No","No","40.6925502","-73.984608"
"Saint Raphael's Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","37-02, Hunters Point Avenue, 11104","","","https://straphael-queens.org/","No","No","No","No","40.7371691","-73.9296972"
"Church for All Nations","Archdiocese of New York","Cold Lead","1","No","","417, West 57th Street, New York, NY, 10019","","","https://www.cfan.net/","No","No","No","No","40.7684898","-73.9863298"
"Holy Cross Catholic Church","Archdiocese of New York","Cold Lead","1","No","","329, West 42nd Street, New York, 10036","","","https://holycrossnyc.com/","No","No","No","No","40.7581531","-73.9911636"
"Church of St. Vincent Ferrer","Archdiocese of New York","Cold Lead","1","No","","","","","https://www.csvf.org/","No","No","No","No","40.7662012","-73.9646622"
"St. Jean Baptiste Church","Archdiocese of New York","Cold Lead","1","No","","1067, Lexington Avenue, New York, 10021","","","http://stjeanbaptisteny.org/","No","No","No","No","40.7726132","-73.9600254"
"St. Lucy's Church","Archdiocese of New York","Cold Lead","1","No","","340, East 104th Street, New York, 10029","","","http://www.saintlucychurch.com","No","No","No","No","40.7884567","-73.9419527"
"Holy Cross Church","Archdiocese of New York","Cold Lead","1","No","","220, Browertown Road, Woodland Park, NJ, 07424","","","https://www.holycrosssite.org/","No","No","No","No","40.8878619","-74.2057458"
"Roman Catholic Church of Saint John","Archdiocese of New York","Cold Lead","1","No","","3033, Kingsbridge Avenue, Bronx, 10463","","","https://stjohnvisitationparish.org/english/?option=com_content&view=article&id=2&Itemid=101","No","No","No","No","40.8792631","-73.9076731"
"Our Lady of Victory Catholic Church","Archdiocese of New York","Cold Lead","1","No","","60, William Street, New York, NY, 10005","","","https://spcolr.org/","No","No","No","No","40.7070139","-74.0087164"
"Saint Calixtus Chapel","Archdiocese of New York","Cold Lead","1","No","","34-02, Greenpoint Ave, Long Island City, NY, 11101","","","https://calvaryandalliedcemeteries.com/venue/st-callixtus-chapel/","No","No","No","No","40.7320842","-73.93217"
"Transfiguration Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","64-25, Perry Avenue, Maspeth, NY, 11378","","","https://transtans.org/","No","No","No","No","40.7241415","-73.9013439"
"Saint Josaphat Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","34-32, 210th Street, Bayside, NY, 11361","","","https://stjosaphat-queens.org/","No","No","No","No","40.7685","-73.7774496"
"Saint Mark Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","2609, East 19th Street, Brooklyn, NY, 11235","","","https://stmarkbrooklyn.org/","No","No","No","No","40.5881522","-73.9499565"
"Our Lady of the Lake Church","Archdiocese of New York","Cold Lead","1","No","","22, Lakeside Avenue, Verona, NJ","","","https://ollverona.org/","No","No","No","No","40.8307438","-74.2464189"
"Saint Patrick & Assumption All Saints","Archdiocese of New York","Cold Lead","1","No","","344, Pacific Avenue, Jersey City, NJ, 07304","","","https://stpaasjc.org/","No","No","No","No","40.7122431","-74.0608896"
"Saint James Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","369, Amboy Avenue, Woodbridge, NJ, 07095","","","https://www.stjamesonline.org/","No","No","No","No","40.5530107","-74.2827105"
"Saint Luke's Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","340, Franklin Turnpike, Ho-Ho-Kus, NJ, 07423","","","https://www.churchofstluke.org/","No","No","No","No","41.0075216","-74.116345"
"Assumption of The Blessed Virgin Mary Ukrainian Catholic Church","Archdiocese of New York","Cold Lead","1","No","","30, East 25th Street, Bayonne, NJ, 07002","","","https://ukrcatholic.org/parishes/assumption-of-the-blessed-virgin-mary-church","No","No","No","No","40.6647957","-74.1160089"
"Saint Mary’s Ukrainian Catholic Church","Archdiocese of New York","Cold Lead","1","No","","","","","https://stmaryscarteret.org/","No","No","No","No","40.585065","-74.2243232"
"Saint Hedwig Roman Catholic Church","Archdiocese of New York","Cold Lead","1","No","","600, Myrtle Street, Elizabeth, NJ, 07202","","","https://www.sainthedwignj.org/","No","No","No","No","40.6442726","-74.2154339"
"Shalom Catholic Community","Archdiocese of New York","Not Suitable","1","No","","21, Nassau Avenue, 11222","+1-347-916-1402","","","No","No","No","No","40.7229146","-73.9537462"
"Alianza Christian Missionary Church","Archdiocese of New York","Not Suitable","1","No","","505, East 142nd Street, Bronx, 10454","+17184014011","","","No","No","No","No","40.8105217","-73.9177485"
"Saint Michael Catholic Church","Archdiocese of New York","Not Suitable","1","No","","211, Harbor Road, 10303","+1 718-442-1688","","","No","No","No","No","40.6313404","-74.1600187"
"Blessed Sacrament Church","Archdiocese of New York","Not Suitable","1","No","","","+1-718-827-1200","","","No","No","No","No","40.6837027","-73.874717"
"St. Nicholas Ukrainian Catholic Church","Archdiocese of New York","Not Suitable","1","No","","256, 19th Street, 11215","+1-718-369-4301","","","No","No","No","No","40.6619446","-73.9917994"
"Coney Island Cathedral","Archdiocese of New York","Not Suitable","1","No","","2816, Mermaid Avenue, Brooklyn, NY, 11224","+1-718-841-7377","contact@coneyislandcathedral.com","","No","No","No","No","40.5752729","-73.9948115"
"Coney Island Gospel Assembly","Archdiocese of New York","Not Suitable","1","No","","2828, Neptune Avenue, Brooklyn, NY, 11224","+1-718-996-9301","","","No","No","No","No","40.5775134","-73.9954688"
"Basilica of Saint Patrick's Old Cathedral - Most Precious Blood Catholic Church","Archdiocese of New York","Not Suitable","1","No","","113, Baxter Street, New York;Manhattan, NY, 10013","+1 212-226-8075","","","No","No","No","No","40.717775","-73.9988829"
"Saint Brigid Catholic Church","Archdiocese of New York","Not Suitable","1","No","","119, Avenue B, 10009","+1 212-677-0044","","","No","No","No","No","40.7253865","-73.9806255"
"Saints Cyril and Methodius","Archdiocese of New York","Not Suitable","1","No","","161, Eagle Street, Brooklyn, NY, 11222","+1-718-389-4424","","","No","No","No","No","40.7355855","-73.9541354"
